theta_deg,r_mm,z_mm
7.6439,10.9034,81.2418
7.6523,10.9166,81.2506
7.6606,10.9299,81.2593
7.6690,10.9431,81.2680
7.6773,10.9563,81.2767
7.6857,10.9696,81.2855
7.6941,10.9828,81.2942
7.7024,10.9961,81.3029
7.7108,11.0093,81.3117
7.7191,11.0226,81.3204
7.7275,11.0358,81.3291
7.7358,11.0491,81.3379
7.7442,11.0624,81.3466
7.7525,11.0756,81.3554
7.7609,11.0889,81.3641
7.7692,11.1022,81.3729
7.7776,11.1155,81.3817
7.7860,11.1288,81.3904
7.7943,11.1421,81.3992
7.8027,11.1554,81.4080
7.8110,11.1687,81.4167
7.8194,11.1819,81.4255
7.8277,11.1953,81.4343
7.8361,11.2086,81.4431
7.8444,11.2219,81.4519
7.8528,11.2352,81.4606
7.8611,11.2485,81.4694
7.8695,11.2618,81.4782
7.8778,11.2751,81.4870
7.8862,11.2885,81.4958
7.8946,11.3018,81.5046
7.9029,11.3151,81.5134
7.9113,11.3285,81.5222
7.9196,11.3418,81.5310
7.9280,11.3552,81.5399
7.9363,11.3685,81.5487
7.9447,11.3819,81.5575
7.9530,11.3952,81.5663
7.9614,11.4086,81.5751
7.9697,11.4219,81.5840
7.9781,11.4353,81.5928
7.9864,11.4487,81.6016
7.9948,11.4621,81.6105
8.0032,11.4754,81.6193
8.0115,11.4888,81.6282
8.0199,11.5022,81.6370
8.0282,11.5156,81.6459
8.0366,11.5290,81.6547
8.0449,11.5424,81.6636
8.0533,11.5558,81.6724
8.0616,11.5692,81.6813
8.0700,11.5826,81.6901
8.0783,11.5960,81.6990
8.0867,11.6094,81.7079
8.0951,11.6228,81.7168
8.1034,11.6362,81.7256
8.1118,11.6497,81.7345
8.1201,11.6631,81.7434
8.1285,11.6765,81.7523
8.1368,11.6899,81.7612
8.1452,11.7034,81.7701
8.1535,11.7168,81.7789
8.1619,11.7303,81.7878
8.1702,11.7437,81.7967
8.1786,11.7572,81.8056
8.1869,11.7706,81.8145
8.1953,11.7841,81.8235
8.2037,11.7975,81.8324
8.2120,11.8110,81.8413
8.2204,11.8245,81.8502
8.2287,11.8380,81.8591
8.2371,11.8514,81.8680
8.2454,11.8649,81.8770
8.2538,11.8784,81.8859
8.2621,11.8919,81.8948
8.2705,11.9054,81.9038
8.2788,11.9189,81.9127
8.2872,11.9324,81.9216
8.2955,11.9459,81.9306
8.3039,11.9594,81.9395
8.3123,11.9729,81.9485
8.3206,11.9864,81.9574
8.3290,11.9999,81.9664
8.3373,12.0134,81.9753
8.3457,12.0270,81.9843
8.3540,12.0405,81.9932
8.3624,12.0540,82.0022
8.3707,12.0676,82.0112
8.3791,12.0811,82.0201
8.3874,12.0946,82.0291
8.3958,12.1082,82.0381
8.4041,12.1217,82.0471
8.4125,12.1353,82.0561
8.4209,12.1488,82.0650
8.4292,12.1624,82.0740
8.4376,12.1760,82.0830
8.4459,12.1895,82.0920
8.4543,12.2031,82.1010
8.4626,12.2167,82.1100
8.4710,12.2303,82.1190
8.4793,12.2438,82.1280
8.4877,12.2574,82.1370
8.4960,12.2710,82.1460
8.5044,12.2846,82.1550
8.5128,12.2982,82.1641
8.5211,12.3118,82.1731
8.5295,12.3254,82.1821
8.5378,12.3390,82.1911
8.5462,12.3526,82.2002
8.5545,12.3662,82.2092
8.5629,12.3799,82.2182
8.5712,12.3935,82.2273
8.5796,12.4071,82.2363
8.5879,12.4207,82.2453
8.5963,12.4344,82.2544
8.6046,12.4480,82.2634
8.6130,12.4616,82.2725
8.6214,12.4753,82.2815
8.6297,12.4889,82.2906
8.6381,12.5026,82.2996
8.6464,12.5162,82.3087
8.6548,12.5299,82.3178
8.6631,12.5436,82.3268
8.6715,12.5572,82.3359
8.6798,12.5709,82.3450
8.6882,12.5846,82.3540
8.6965,12.5982,82.3631
8.7049,12.6119,82.3722
8.7132,12.6256,82.3813
8.7216,12.6393,82.3904
8.7300,12.6530,82.3995
8.7383,12.6667,82.4086
8.7467,12.6804,82.4177
8.7550,12.6941,82.4267
8.7634,12.7078,82.4358
8.7717,12.7215,82.4450
8.7801,12.7352,82.4541
8.7884,12.7489,82.4632
8.7968,12.7627,82.4723
8.8051,12.7764,82.4814
8.8135,12.7901,82.4905
8.8219,12.8038,82.4996
8.8302,12.8176,82.5088
8.8386,12.8313,82.5179
8.8469,12.8451,82.5270
8.8553,12.8588,82.5361
8.8636,12.8726,82.5453
8.8720,12.8863,82.5544
8.8803,12.9001,82.5635
8.8887,12.9138,82.5727
8.8970,12.9276,82.5818
8.9054,12.9414,82.5910
8.9137,12.9551,82.6001
8.9221,12.9689,82.6093
8.9305,12.9827,82.6184
8.9388,12.9965,82.6276
8.9472,13.0103,82.6368
8.9555,13.0241,82.6459
8.9639,13.0379,82.6551
8.9722,13.0517,82.6643
8.9806,13.0655,82.6734
8.9889,13.0793,82.6826
8.9973,13.0931,82.6918
9.0056,13.1069,82.7010
9.0140,13.1207,82.7101
9.0223,13.1345,82.7193
9.0307,13.1484,82.7285
9.0391,13.1622,82.7377
9.0474,13.1760,82.7469
9.0558,13.1899,82.7561
9.0641,13.2037,82.7653
9.0725,13.2175,82.7745
9.0808,13.2314,82.7837
9.0892,13.2452,82.7929
9.0975,13.2591,82.8021
9.1059,13.2730,82.8113
9.1142,13.2868,82.8206
9.1226,13.3007,82.8298
9.1310,13.3146,82.8390
9.1393,13.3284,82.8482
9.1477,13.3423,82.8575
9.1560,13.3562,82.8667
9.1644,13.3701,82.8759
9.1727,13.3840,82.8852
9.1811,13.3979,82.8944
9.1894,13.4118,82.9036
9.1978,13.4257,82.9129
9.2061,13.4396,82.9221
9.2145,13.4535,82.9314
9.2228,13.4674,82.9406
9.2312,13.4813,82.9499
9.2396,13.4952,82.9591
9.2479,13.5091,82.9684
9.2563,13.5231,82.9777
9.2646,13.5370,82.9869
9.2730,13.5509,82.9962
9.2813,13.5649,83.0055
9.2897,13.5788,83.0147
9.2980,13.5928,83.0240
9.3064,13.6067,83.0333
9.3147,13.6207,83.0426
9.3231,13.6346,83.0519
9.3314,13.6486,83.0611
9.3398,13.6626,83.0704
9.3482,13.6765,83.0797
9.3565,13.6905,83.0890
9.3649,13.7045,83.0983
9.3732,13.7185,83.1076
9.3816,13.7325,83.1169
9.3899,13.7464,83.1262
9.3983,13.7604,83.1355
9.4066,13.7744,83.1449
9.4150,13.7884,83.1542
9.4233,13.8024,83.1635
9.4317,13.8164,83.1728
9.4400,13.8305,83.1821
9.4484,13.8445,83.1914
9.4568,13.8585,83.2008
9.4651,13.8725,83.2101
9.4735,13.8865,83.2194
9.4818,13.9006,83.2288
9.4902,13.9146,83.2381
9.4985,13.9286,83.2475
9.5069,13.9427,83.2568
9.5152,13.9567,83.2661
9.5236,13.9708,83.2755
9.5319,13.9848,83.2848
9.5403,13.9989,83.2942
9.5487,14.0130,83.3036
9.5570,14.0270,83.3129
9.5654,14.0411,83.3223
9.5737,14.0552,83.3316
9.5821,14.0692,83.3410
9.5904,14.0833,83.3504
9.5988,14.0974,83.3598
9.6071,14.1115,83.3691
9.6155,14.1256,83.3785
9.6238,14.1397,83.3879
9.6322,14.1538,83.3973
9.6405,14.1679,83.4067
9.6489,14.1820,83.4161
9.6573,14.1961,83.4254
9.6656,14.2102,83.4348
9.6740,14.2244,83.4442
9.6823,14.2385,83.4536
9.6907,14.2526,83.4630
9.6990,14.2667,83.4724
9.7074,14.2809,83.4819
9.7157,14.2950,83.4913
9.7241,14.3092,83.5007
9.7324,14.3233,83.5101
9.7408,14.3375,83.5195
9.7491,14.3516,83.5289
9.7575,14.3658,83.5384
9.7659,14.3799,83.5478
9.7742,14.3941,83.5572
9.7826,14.4083,83.5666
9.7909,14.4225,83.5761
9.7993,14.4366,83.5855
9.8076,14.4508,83.5950
9.8160,14.4650,83.6044
9.8243,14.4792,83.6138
9.8327,14.4934,83.6233
9.8410,14.5076,83.6327
9.8494,14.5218,83.6422
9.8578,14.5360,83.6516
9.8661,14.5502,83.6611
9.8745,14.5644,83.6706
9.8828,14.5786,83.6800
9.8912,14.5929,83.6895
9.8995,14.6071,83.6990
9.9079,14.6213,83.7084
9.9162,14.6356,83.7179
9.9246,14.6498,83.7274
9.9329,14.6640,83.7369
9.9413,14.6783,83.7464
9.9496,14.6925,83.7558
9.9580,14.7068,83.7653
9.9664,14.7210,83.7748
9.9747,14.7353,83.7843
9.9831,14.7496,83.7938
9.9914,14.7638,83.8033
9.9998,14.7781,83.8128
10.0081,14.7924,83.8223
10.0165,14.8067,83.8318
10.0248,14.8210,83.8413
10.0332,14.8352,83.8508
10.0415,14.8495,83.8603
10.0499,14.8638,83.8699
10.0582,14.8781,83.8794
10.0666,14.8924,83.8889
10.0750,14.9068,83.8984
10.0833,14.9211,83.9079
10.0917,14.9354,83.9175
10.1000,14.9497,83.9270
10.1084,14.9640,83.9365
10.1167,14.9784,83.9461
10.1251,14.9927,83.9556
10.1334,15.0070,83.9652
10.1418,15.0214,83.9747
10.1501,15.0357,83.9843
10.1585,15.0501,83.9938
10.1668,15.0644,84.0034
10.1752,15.0788,84.0129
10.1836,15.0931,84.0225
10.1919,15.1075,84.0320
10.2003,15.1219,84.0416
10.2086,15.1362,84.0512
10.2170,15.1506,84.0607
10.2253,15.1650,84.0703
10.2337,15.1794,84.0799
10.2420,15.1938,84.0895
10.2504,15.2082,84.0990
10.2587,15.2226,84.1086
10.2671,15.2370,84.1182
10.2755,15.2514,84.1278
10.2838,15.2658,84.1374
10.2922,15.2802,84.1470
10.3005,15.2946,84.1566
10.3089,15.3090,84.1662
10.3172,15.3235,84.1758
10.3256,15.3379,84.1854
10.3339,15.3523,84.1950
10.3423,15.3668,84.2046
10.3506,15.3812,84.2142
10.3590,15.3957,84.2238
10.3673,15.4101,84.2334
10.3757,15.4246,84.2430
10.3841,15.4390,84.2527
10.3924,15.4535,84.2623
10.4008,15.4679,84.2719
10.4091,15.4824,84.2815
10.4175,15.4969,84.2912
10.4258,15.5114,84.3008
10.4342,15.5259,84.3104
10.4425,15.5403,84.3201
10.4509,15.5548,84.3297
10.4592,15.5693,84.3394
10.4676,15.5838,84.3490
10.4759,15.5983,84.3587
10.4843,15.6128,84.3683
10.4927,15.6273,84.3780
10.5010,15.6419,84.3876
10.5094,15.6564,84.3973
10.5177,15.6709,84.4069
10.5261,15.6854,84.4166
10.5344,15.7000,84.4263
10.5428,15.7145,84.4359
10.5511,15.7290,84.4456
10.5595,15.7436,84.4553
10.5678,15.7581,84.4650
10.5762,15.7727,84.4746
10.5846,15.7872,84.4843
10.5929,15.8018,84.4940
10.6013,15.8164,84.5037
10.6096,15.8309,84.5134
10.6180,15.8455,84.5231
10.6263,15.8601,84.5328
10.6347,15.8747,84.5425
10.6430,15.8892,84.5522
10.6514,15.9038,84.5619
10.6597,15.9184,84.5716
10.6681,15.9330,84.5813
10.6764,15.9476,84.5910
10.6848,15.9622,84.6007
10.6932,15.9768,84.6104
10.7015,15.9915,84.6202
10.7099,16.0061,84.6299
10.7182,16.0207,84.6396
10.7266,16.0353,84.6493
10.7349,16.0499,84.6591
10.7433,16.0646,84.6688
10.7516,16.0792,84.6785
10.7600,16.0939,84.6883
10.7683,16.1085,84.6980
10.7767,16.1232,84.7078
10.7850,16.1378,84.7175
10.7934,16.1525,84.7272
10.8018,16.1671,84.7370
10.8101,16.1818,84.7467
10.8185,16.1965,84.7565
10.8268,16.2112,84.7663
10.8352,16.2258,84.7760
10.8435,16.2405,84.7858
10.8519,16.2552,84.7955
10.8602,16.2699,84.8053
10.8686,16.2846,84.8151
10.8769,16.2993,84.8249
10.8853,16.3140,84.8346
10.8936,16.3287,84.8444
10.9020,16.3434,84.8542
10.9104,16.3581,84.8640
10.9187,16.3729,84.8738
10.9271,16.3876,84.8835
10.9354,16.4023,84.8933
10.9438,16.4170,84.9031
10.9521,16.4318,84.9129
10.9605,16.4465,84.9227
10.9688,16.4613,84.9325
10.9772,16.4760,84.9423
10.9855,16.4908,84.9521
10.9939,16.5055,84.9619
11.0023,16.5203,84.9718
11.0106,16.5351,84.9816
11.0190,16.5498,84.9914
11.0273,16.5646,85.0012
11.0357,16.5794,85.0110
11.0440,16.5942,85.0208
11.0524,16.6090,85.0307
11.0607,16.6238,85.0405
11.0691,16.6386,85.0503
11.0774,16.6534,85.0602
11.0858,16.6682,85.0700
11.0941,16.6830,85.0798
11.1025,16.6978,85.0897
11.1109,16.7126,85.0995
11.1192,16.7274,85.1094
11.1276,16.7423,85.1192
11.1359,16.7571,85.1291
11.1443,16.7719,85.1389
11.1526,16.7868,85.1488
11.1610,16.8016,85.1587
11.1693,16.8165,85.1685
11.1777,16.8313,85.1784
11.1860,16.8462,85.1882
11.1944,16.8610,85.1981
11.2027,16.8759,85.2080
11.2111,16.8908,85.2179
11.2195,16.9056,85.2277
11.2278,16.9205,85.2376
11.2362,16.9354,85.2475
11.2445,16.9503,85.2574
11.2529,16.9652,85.2673
11.2612,16.9801,85.2772
11.2696,16.9950,85.2871
11.2779,17.0099,85.2970
11.2863,17.0248,85.3068
11.2946,17.0397,85.3167
11.3030,17.0546,85.3267
11.3114,17.0695,85.3366
11.3197,17.0844,85.3465
11.3281,17.0994,85.3564
11.3364,17.1143,85.3663
11.3448,17.1292,85.3762
11.3531,17.1442,85.3861
11.3615,17.1591,85.3960
11.3698,17.1741,85.4060
11.3782,17.1890,85.4159
11.3865,17.2040,85.4258
11.3949,17.2189,85.4357
11.4032,17.2339,85.4457
11.4116,17.2489,85.4556
11.4200,17.2639,85.4656
11.4283,17.2788,85.4755
11.4367,17.2938,85.4854
11.4450,17.3088,85.4954
11.4534,17.3238,85.5053
11.4617,17.3388,85.5153
11.4701,17.3538,85.5252
11.4784,17.3688,85.5352
11.4868,17.3838,85.5451
11.4951,17.3988,85.5551
11.5035,17.4138,85.5651
11.5118,17.4289,85.5750
11.5202,17.4439,85.5850
11.5286,17.4589,85.5950
11.5369,17.4740,85.6050
11.5453,17.4890,85.6149
11.5536,17.5040,85.6249
11.5620,17.5191,85.6349
11.5703,17.5341,85.6449
11.5787,17.5492,85.6549
11.5870,17.5643,85.6648
11.5954,17.5793,85.6748
11.6037,17.5944,85.6848
11.6121,17.6095,85.6948
11.6204,17.6246,85.7048
11.6288,17.6396,85.7148
11.6372,17.6547,85.7248
11.6455,17.6698,85.7348
11.6539,17.6849,85.7448
11.6622,17.7000,85.7549
11.6706,17.7151,85.7649
11.6789,17.7302,85.7749
11.6873,17.7453,85.7849
11.6956,17.7605,85.7949
11.7040,17.7756,85.8049
11.7123,17.7907,85.8150
11.7207,17.8058,85.8250
11.7291,17.8210,85.8350
11.7374,17.8361,85.8451
11.7458,17.8513,85.8551
11.7541,17.8664,85.8651
11.7625,17.8816,85.8752
11.7708,17.8967,85.8852
11.7792,17.9119,85.8953
11.7875,17.9270,85.9053
11.7959,17.9422,85.9154
11.8042,17.9574,85.9254
11.8126,17.9726,85.9355
11.8209,17.9878,85.9455
11.8293,18.0029,85.9556
11.8377,18.0181,85.9657
11.8460,18.0333,85.9757
11.8544,18.0485,85.9858
11.8627,18.0637,85.9959
11.8711,18.0789,86.0060
11.8794,18.0942,86.0160
11.8878,18.1094,86.0261
11.8961,18.1246,86.0362
11.9045,18.1398,86.0463
11.9128,18.1551,86.0564
11.9212,18.1703,86.0664
11.9295,18.1855,86.0765
11.9379,18.2008,86.0866
11.9463,18.2160,86.0967
11.9546,18.2313,86.1068
11.9630,18.2465,86.1169
11.9713,18.2618,86.1270
11.9797,18.2771,86.1371
11.9880,18.2923,86.1473
11.9964,18.3076,86.1574
12.0047,18.3229,86.1675
12.0131,18.3382,86.1776
12.0214,18.3535,86.1877
12.0298,18.3688,86.1978
12.0382,18.3841,86.2080
12.0465,18.3994,86.2181
12.0549,18.4147,86.2282
12.0632,18.4300,86.2383
12.0716,18.4453,86.2485
12.0799,18.4606,86.2586
12.0883,18.4760,86.2688
12.0966,18.4913,86.2789
12.1050,18.5066,86.2890
12.1133,18.5220,86.2992
12.1217,18.5373,86.3093
12.1300,18.5526,86.3195
12.1384,18.5680,86.3296
12.1468,18.5834,86.3398
12.1551,18.5987,86.3500
12.1635,18.6141,86.3601
12.1718,18.6294,86.3703
12.1802,18.6448,86.3804
12.1885,18.6602,86.3906
12.1969,18.6756,86.4008
12.2052,18.6910,86.4110
12.2136,18.7064,86.4211
12.2219,18.7218,86.4313
12.2303,18.7372,86.4415
12.2386,18.7526,86.4517
12.2470,18.7680,86.4619
12.2554,18.7834,86.4721
12.2637,18.7988,86.4822
12.2721,18.8142,86.4924
12.2804,18.8297,86.5026
12.2888,18.8451,86.5128
12.2971,18.8605,86.5230
12.3055,18.8760,86.5332
12.3138,18.8914,86.5435
12.3222,18.9069,86.5537
12.3305,18.9223,86.5639
12.3389,18.9378,86.5741
12.3472,18.9532,86.5843
12.3556,18.9687,86.5945
12.3640,18.9842,86.6047
12.3723,18.9997,86.6150
12.3807,19.0151,86.6252
12.3890,19.0306,86.6354
12.3974,19.0461,86.6457
12.4057,19.0616,86.6559
12.4141,19.0771,86.6661
12.4224,19.0926,86.6764
12.4308,19.1081,86.6866
12.4391,19.1236,86.6968
12.4475,19.1392,86.7071
12.4559,19.1547,86.7173
12.4642,19.1702,86.7276
12.4726,19.1857,86.7378
12.4809,19.2013,86.7481
12.4893,19.2168,86.7584
12.4976,19.2324,86.7686
12.5060,19.2479,86.7789
12.5143,19.2635,86.7892
12.5227,19.2790,86.7994
12.5310,19.2946,86.8097
12.5394,19.3102,86.8200
12.5477,19.3257,86.8302
12.5561,19.3413,86.8405
12.5645,19.3569,86.8508
12.5728,19.3725,86.8611
12.5812,19.3881,86.8714
12.5895,19.4037,86.8817
12.5979,19.4193,86.8919
12.6062,19.4349,86.9022
12.6146,19.4505,86.9125
12.6229,19.4661,86.9228
12.6313,19.4817,86.9331
12.6396,19.4973,86.9434
12.6480,19.5130,86.9537
12.6563,19.5286,86.9641
12.6647,19.5442,86.9744
12.6731,19.5599,86.9847
12.6814,19.5755,86.9950
12.6898,19.5912,87.0053
12.6981,19.6068,87.0156
12.7065,19.6225,87.0260
12.7148,19.6381,87.0363
12.7232,19.6538,87.0466
12.7315,19.6695,87.0569
12.7399,19.6852,87.0673
12.7482,19.7008,87.0776
12.7566,19.7165,87.0879
12.7650,19.7322,87.0983
12.7733,19.7479,87.1086
12.7817,19.7636,87.1190
12.7900,19.7793,87.1293
12.7984,19.7950,87.1397
12.8067,19.8108,87.1500
12.8151,19.8265,87.1604
12.8234,19.8422,87.1707
12.8318,19.8579,87.1811
12.8401,19.8737,87.1915
12.8485,19.8894,87.2018
12.8568,19.9051,87.2122
12.8652,19.9209,87.2226
12.8736,19.9366,87.2329
12.8819,19.9524,87.2433
12.8903,19.9682,87.2537
12.8986,19.9839,87.2641
12.9070,19.9997,87.2745
12.9153,20.0155,87.2848
12.9237,20.0312,87.2952
12.9320,20.0470,87.3056
12.9404,20.0628,87.3160
12.9487,20.0786,87.3264
12.9571,20.0944,87.3368
12.9654,20.1102,87.3472
12.9738,20.1260,87.3576
12.9822,20.1418,87.3680
12.9905,20.1577,87.3784
12.9989,20.1735,87.3888
13.0072,20.1893,87.3992
13.0156,20.2051,87.4097
13.0239,20.2210,87.4201
13.0323,20.2368,87.4305
13.0406,20.2527,87.4409
13.0490,20.2685,87.4513
13.0573,20.2844,87.4618
13.0657,20.3002,87.4722
13.0741,20.3161,87.4826
13.0824,20.3320,87.4931
13.0908,20.3478,87.5035
13.0991,20.3637,87.5139
13.1075,20.3796,87.5244
13.1158,20.3955,87.5348
13.1242,20.4114,87.5453
13.1325,20.4273,87.5557
13.1409,20.4432,87.5662
13.1492,20.4591,87.5766
13.1576,20.4750,87.5871
13.1659,20.4909,87.5976
13.1743,20.5068,87.6080
13.1827,20.5227,87.6185
13.1910,20.5387,87.6289
13.1994,20.5546,87.6394
13.2077,20.5705,87.6499
13.2161,20.5865,87.6604
13.2244,20.6024,87.6708
13.2328,20.6184,87.6813
13.2411,20.6344,87.6918
13.2495,20.6503,87.7023
13.2578,20.6663,87.7128
13.2662,20.6823,87.7233
13.2745,20.6982,87.7337
13.2829,20.7142,87.7442
13.2913,20.7302,87.7547
13.2996,20.7462,87.7652
13.3080,20.7622,87.7757
13.3163,20.7782,87.7862
13.3247,20.7942,87.7968
13.3330,20.8102,87.8073
13.3414,20.8262,87.8178
13.3497,20.8422,87.8283
13.3581,20.8583,87.8388
13.3664,20.8743,87.8493
13.3748,20.8903,87.8598
13.3831,20.9064,87.8704
13.3915,20.9224,87.8809
13.3999,20.9385,87.8914
13.4082,20.9545,87.9020
13.4166,20.9706,87.9125
13.4249,20.9866,87.9230
13.4333,21.0027,87.9336
13.4416,21.0188,87.9441
13.4500,21.0348,87.9546
13.4583,21.0509,87.9652
13.4667,21.0670,87.9757
13.4750,21.0831,87.9863
13.4834,21.0992,87.9968
13.4918,21.1153,88.0074
13.5001,21.1314,88.0180
13.5085,21.1475,88.0285
13.5168,21.1636,88.0391
13.5252,21.1798,88.0496
13.5335,21.1959,88.0602
13.5419,21.2120,88.0708
13.5502,21.2281,88.0814
13.5586,21.2443,88.0919
13.5669,21.2604,88.1025
13.5753,21.2766,88.1131
13.5836,21.2927,88.1237
13.5920,21.3089,88.1343
13.6004,21.3251,88.1449
13.6087,21.3412,88.1554
13.6171,21.3574,88.1660
13.6254,21.3736,88.1766
13.6338,21.3898,88.1872
13.6421,21.4060,88.1978
13.6505,21.4221,88.2084
13.6588,21.4383,88.2190
13.6672,21.4545,88.2296
13.6755,21.4708,88.2403
13.6839,21.4870,88.2509
13.6922,21.5032,88.2615
13.7006,21.5194,88.2721
13.7090,21.5356,88.2827
13.7173,21.5519,88.2933
13.7257,21.5681,88.3040
13.7340,21.5843,88.3146
13.7424,21.6006,88.3252
13.7507,21.6168,88.3359
13.7591,21.6331,88.3465
13.7674,21.6494,88.3571
13.7758,21.6656,88.3678
13.7841,21.6819,88.3784
13.7925,21.6982,88.3891
13.8009,21.7144,88.3997
13.8092,21.7307,88.4104
13.8176,21.7470,88.4210
13.8259,21.7633,88.4317
13.8343,21.7796,88.4423
13.8426,21.7959,88.4530
13.8510,21.8122,88.4636
13.8593,21.8285,88.4743
13.8677,21.8449,88.4850
13.8760,21.8612,88.4956
13.8844,21.8775,88.5063
13.8927,21.8938,88.5170
13.9011,21.9102,88.5277
13.9095,21.9265,88.5383
13.9178,21.9429,88.5490
13.9262,21.9592,88.5597
13.9345,21.9756,88.5704
13.9429,21.9920,88.5811
13.9512,22.0083,88.5918
13.9596,22.0247,88.6025
13.9679,22.0411,88.6132
13.9763,22.0575,88.6239
13.9846,22.0738,88.6346
13.9930,22.0902,88.6453
14.0013,22.1066,88.6560
14.0097,22.1230,88.6667
14.0181,22.1394,88.6774
14.0264,22.1559,88.6881
14.0348,22.1723,88.6988
14.0431,22.1887,88.7096
14.0515,22.2051,88.7203
14.0598,22.2216,88.7310
14.0682,22.2380,88.7417
14.0765,22.2544,88.7525
14.0849,22.2709,88.7632
14.0932,22.2873,88.7739
14.1016,22.3038,88.7847
14.1099,22.3203,88.7954
14.1183,22.3367,88.8061
14.1267,22.3532,88.8169
14.1350,22.3697,88.8276
14.1434,22.3862,88.8384
14.1517,22.4026,88.8491
14.1601,22.4191,88.8599
14.1684,22.4356,88.8706
14.1768,22.4521,88.8814
14.1851,22.4686,88.8922
14.1935,22.4851,88.9029
14.2018,22.5017,88.9137
14.2102,22.5182,88.9245
14.2186,22.5347,88.9352
14.2269,22.5512,88.9460
14.2353,22.5678,88.9568
14.2436,22.5843,88.9676
14.2520,22.6009,88.9783
14.2603,22.6174,88.9891
14.2687,22.6340,88.9999
14.2770,22.6505,89.0107
14.2854,22.6671,89.0215
14.2937,22.6837,89.0323
14.3021,22.7003,89.0431
14.3104,22.7168,89.0539
14.3188,22.7334,89.0647
14.3272,22.7500,89.0755
14.3355,22.7666,89.0863
14.3439,22.7832,89.0971
14.3522,22.7998,89.1079
14.3606,22.8164,89.1187
14.3689,22.8331,89.1295
14.3773,22.8497,89.1403
14.3856,22.8663,89.1512
14.3940,22.8829,89.1620
14.4023,22.8996,89.1728
14.4107,22.9162,89.1836
14.4190,22.9329,89.1945
14.4274,22.9495,89.2053
14.4358,22.9662,89.2161
14.4441,22.9828,89.2270
14.4525,22.9995,89.2378
14.4608,23.0162,89.2487
14.4692,23.0328,89.2595
14.4775,23.0495,89.2703
14.4859,23.0662,89.2812
14.4942,23.0829,89.2921
14.5026,23.0996,89.3029
14.5109,23.1163,89.3138
14.5193,23.1330,89.3246
14.5277,23.1497,89.3355
14.5360,23.1664,89.3464
14.5444,23.1832,89.3572
14.5527,23.1999,89.3681
14.5611,23.2166,89.3790
14.5694,23.2334,89.3898
14.5778,23.2501,89.4007
14.5861,23.2669,89.4116
14.5945,23.2836,89.4225
14.6028,23.3004,89.4334
14.6112,23.3171,89.4442
14.6195,23.3339,89.4551
14.6279,23.3507,89.4660
14.6363,23.3675,89.4769
14.6446,23.3842,89.4878
14.6530,23.4010,89.4987
14.6613,23.4178,89.5096
14.6697,23.4346,89.5205
14.6780,23.4514,89.5314
14.6864,23.4682,89.5423
14.6947,23.4851,89.5533
14.7031,23.5019,89.5642
14.7114,23.5187,89.5751
14.7198,23.5355,89.5860
14.7281,23.5524,89.5969
14.7365,23.5692,89.6079
14.7449,23.5861,89.6188
14.7532,23.6029,89.6297
14.7616,23.6198,89.6406
14.7699,23.6366,89.6516
14.7783,23.6535,89.6625
14.7866,23.6704,89.6735
14.7950,23.6872,89.6844
14.8033,23.7041,89.6953
14.8117,23.7210,89.7063
14.8200,23.7379,89.7172
14.8284,23.7548,89.7282
14.8367,23.7717,89.7391
14.8451,23.7886,89.7501
14.8535,23.8055,89.7611
14.8618,23.8224,89.7720
14.8702,23.8394,89.7830
14.8785,23.8563,89.7939
14.8869,23.8732,89.8049
14.8952,23.8901,89.8159
14.9036,23.9071,89.8269
14.9119,23.9240,89.8378
14.9203,23.9410,89.8488
14.9286,23.9580,89.8598
14.9370,23.9749,89.8708
14.9454,23.9919,89.8818
14.9537,24.0089,89.8928
14.9621,24.0258,89.9037
14.9704,24.0428,89.9147
14.9788,24.0598,89.9257
14.9871,24.0768,89.9367
14.9955,24.0938,89.9477
15.0038,24.1108,89.9587
15.0122,24.1278,89.9697
15.0205,24.1448,89.9808
15.0289,24.1619,89.9918
15.0372,24.1789,90.0028
15.0456,24.1959,90.0138
15.0540,24.2130,90.0248
15.0623,24.2300,90.0358
15.0707,24.2471,90.0469
15.0790,24.2641,90.0579
15.0874,24.2812,90.0689
15.0957,24.2982,90.0799
15.1041,24.3153,90.0910
15.1124,24.3324,90.1020
15.1208,24.3494,90.1131
15.1291,24.3665,90.1241
15.1375,24.3836,90.1351
15.1458,24.4007,90.1462
15.1542,24.4178,90.1572
15.1626,24.4349,90.1683
15.1709,24.4520,90.1793
15.1793,24.4691,90.1904
15.1876,24.4863,90.2015
15.1960,24.5034,90.2125
15.2043,24.5205,90.2236
15.2127,24.5377,90.2346
15.2210,24.5548,90.2457
15.2294,24.5719,90.2568
15.2377,24.5891,90.2679
15.2461,24.6063,90.2789
15.2545,24.6234,90.2900
15.2628,24.6406,90.3011
15.2712,24.6578,90.3122
15.2795,24.6749,90.3233
15.2879,24.6921,90.3343
15.2962,24.7093,90.3454
15.3046,24.7265,90.3565
15.3129,24.7437,90.3676
15.3213,24.7609,90.3787
15.3296,24.7781,90.3898
15.3380,24.7953,90.4009
15.3463,24.8126,90.4120
15.3547,24.8298,90.4231
15.3631,24.8470,90.4343
15.3714,24.8643,90.4454
15.3798,24.8815,90.4565
15.3881,24.8987,90.4676
15.3965,24.9160,90.4787
15.4048,24.9333,90.4898
15.4132,24.9505,90.5010
15.4215,24.9678,90.5121
