theta_deg,r_mm,z_mm
1.7711,2.3522,76.0727
1.7794,2.3635,76.0782
1.7878,2.3748,76.0836
1.7961,2.3860,76.0891
1.8045,2.3973,76.0946
1.8128,2.4086,76.1001
1.8212,2.4199,76.1056
1.8295,2.4312,76.1111
1.8379,2.4424,76.1166
1.8462,2.4537,76.1221
1.8546,2.4650,76.1276
1.8629,2.4763,76.1331
1.8713,2.4876,76.1387
1.8797,2.4989,76.1442
1.8880,2.5102,76.1498
1.8964,2.5215,76.1554
1.9047,2.5328,76.1609
1.9131,2.5441,76.1665
1.9214,2.5554,76.1721
1.9298,2.5667,76.1777
1.9381,2.5780,76.1833
1.9465,2.5893,76.1889
1.9548,2.6006,76.1945
1.9632,2.6120,76.2002
1.9716,2.6233,76.2058
1.9799,2.6346,76.2115
1.9883,2.6459,76.2171
1.9966,2.6572,76.2228
2.0050,2.6686,76.2284
2.0133,2.6799,76.2341
2.0217,2.6912,76.2398
2.0300,2.7026,76.2455
2.0384,2.7139,76.2512
2.0467,2.7252,76.2569
2.0551,2.7366,76.2626
2.0634,2.7479,76.2683
2.0718,2.7592,76.2740
2.0802,2.7706,76.2798
2.0885,2.7819,76.2855
2.0969,2.7933,76.2912
2.1052,2.8046,76.2970
2.1136,2.8160,76.3028
2.1219,2.8273,76.3085
2.1303,2.8387,76.3143
2.1386,2.8501,76.3201
2.1470,2.8614,76.3259
2.1553,2.8728,76.3317
2.1637,2.8841,76.3375
2.1720,2.8955,76.3433
2.1804,2.9069,76.3491
2.1888,2.9183,76.3550
2.1971,2.9296,76.3608
2.2055,2.9410,76.3666
2.2138,2.9524,76.3725
2.2222,2.9638,76.3783
2.2305,2.9751,76.3842
2.2389,2.9865,76.3901
2.2472,2.9979,76.3960
2.2556,3.0093,76.4018
2.2639,3.0207,76.4077
2.2723,3.0321,76.4136
2.2806,3.0435,76.4195
2.2890,3.0549,76.4255
2.2974,3.0663,76.4314
2.3057,3.0777,76.4373
2.3141,3.0891,76.4432
2.3224,3.1005,76.4492
2.3308,3.1119,76.4551
2.3391,3.1233,76.4611
2.3475,3.1347,76.4670
2.3558,3.1461,76.4730
2.3642,3.1575,76.4790
2.3725,3.1690,76.4850
2.3809,3.1804,76.4910
2.3893,3.1918,76.4970
2.3976,3.2032,76.5030
2.4060,3.2146,76.5090
2.4143,3.2261,76.5150
2.4227,3.2375,76.5210
2.4310,3.2489,76.5270
2.4394,3.2604,76.5331
2.4477,3.2718,76.5391
2.4561,3.2833,76.5452
2.4644,3.2947,76.5512
2.4728,3.3061,76.5573
2.4811,3.3176,76.5634
2.4895,3.3290,76.5694
2.4979,3.3405,76.5755
2.5062,3.3519,76.5816
2.5146,3.3634,76.5877
2.5229,3.3749,76.5938
2.5313,3.3863,76.5999
2.5396,3.3978,76.6060
2.5480,3.4092,76.6122
2.5563,3.4207,76.6183
2.5647,3.4322,76.6244
2.5730,3.4436,76.6306
2.5814,3.4551,76.6367
2.5897,3.4666,76.6429
2.5981,3.4781,76.6490
2.6065,3.4895,76.6552
2.6148,3.5010,76.6614
2.6232,3.5125,76.6676
2.6315,3.5240,76.6738
2.6399,3.5355,76.6800
2.6482,3.5470,76.6862
2.6566,3.5585,76.6924
2.6649,3.5700,76.6986
2.6733,3.5815,76.7048
2.6816,3.5930,76.7110
2.6900,3.6045,76.7173
2.6984,3.6160,76.7235
2.7067,3.6275,76.7297
2.7151,3.6390,76.7360
2.7234,3.6505,76.7423
2.7318,3.6620,76.7485
2.7401,3.6735,76.7548
2.7485,3.6850,76.7611
2.7568,3.6966,76.7673
2.7652,3.7081,76.7736
2.7735,3.7196,76.7799
2.7819,3.7311,76.7862
2.7902,3.7427,76.7925
2.7986,3.7542,76.7989
2.8070,3.7657,76.8052
2.8153,3.7773,76.8115
2.8237,3.7888,76.8178
2.8320,3.8004,76.8242
2.8404,3.8119,76.8305
2.8487,3.8234,76.8369
2.8571,3.8350,76.8432
2.8654,3.8465,76.8496
2.8738,3.8581,76.8560
2.8821,3.8697,76.8623
2.8905,3.8812,76.8687
2.8988,3.8928,76.8751
2.9072,3.9043,76.8815
2.9156,3.9159,76.8879
2.9239,3.9275,76.8943
2.9323,3.9390,76.9007
2.9406,3.9506,76.9071
2.9490,3.9622,76.9136
2.9573,3.9738,76.9200
2.9657,3.9853,76.9264
2.9740,3.9969,76.9329
2.9824,4.0085,76.9393
2.9907,4.0201,76.9458
2.9991,4.0317,76.9522
3.0074,4.0433,76.9587
3.0158,4.0549,76.9652
3.0242,4.0665,76.9716
3.0325,4.0781,76.9781
3.0409,4.0897,76.9846
3.0492,4.1013,76.9911
3.0576,4.1129,76.9976
3.0659,4.1245,77.0041
3.0743,4.1361,77.0106
3.0826,4.1477,77.0172
3.0910,4.1593,77.0237
3.0993,4.1709,77.0302
3.1077,4.1825,77.0367
3.1161,4.1942,77.0433
3.1244,4.2058,77.0498
3.1328,4.2174,77.0564
3.1411,4.2290,77.0629
3.1495,4.2407,77.0695
3.1578,4.2523,77.0761
3.1662,4.2639,77.0826
3.1745,4.2756,77.0892
3.1829,4.2872,77.0958
3.1912,4.2989,77.1024
3.1996,4.3105,77.1090
3.2079,4.3222,77.1156
3.2163,4.3338,77.1222
3.2247,4.3455,77.1288
3.2330,4.3571,77.1355
3.2414,4.3688,77.1421
3.2497,4.3804,77.1487
3.2581,4.3921,77.1554
3.2664,4.4038,77.1620
3.2748,4.4154,77.1686
3.2831,4.4271,77.1753
3.2915,4.4388,77.1820
3.2998,4.4505,77.1886
3.3082,4.4621,77.1953
3.3165,4.4738,77.2020
3.3249,4.4855,77.2086
3.3333,4.4972,77.2153
3.3416,4.5089,77.2220
3.3500,4.5206,77.2287
3.3583,4.5322,77.2354
3.3667,4.5439,77.2421
3.3750,4.5556,77.2489
3.3834,4.5673,77.2556
3.3917,4.5790,77.2623
3.4001,4.5907,77.2690
3.4084,4.6025,77.2758
3.4168,4.6142,77.2825
3.4252,4.6259,77.2892
3.4335,4.6376,77.2960
3.4419,4.6493,77.3028
3.4502,4.6610,77.3095
3.4586,4.6727,77.3163
3.4669,4.6845,77.3231
3.4753,4.6962,77.3298
3.4836,4.7079,77.3366
3.4920,4.7197,77.3434
3.5003,4.7314,77.3502
3.5087,4.7431,77.3570
3.5170,4.7549,77.3638
3.5254,4.7666,77.3706
3.5338,4.7784,77.3774
3.5421,4.7901,77.3843
3.5505,4.8019,77.3911
3.5588,4.8136,77.3979
3.5672,4.8254,77.4048
3.5755,4.8371,77.4116
3.5839,4.8489,77.4184
3.5922,4.8606,77.4253
3.6006,4.8724,77.4322
3.6089,4.8842,77.4390
3.6173,4.8959,77.4459
3.6256,4.9077,77.4528
3.6340,4.9195,77.4596
3.6424,4.9313,77.4665
3.6507,4.9431,77.4734
3.6591,4.9548,77.4803
3.6674,4.9666,77.4872
3.6758,4.9784,77.4941
3.6841,4.9902,77.5010
3.6925,5.0020,77.5079
3.7008,5.0138,77.5148
3.7092,5.0256,77.5218
3.7175,5.0374,77.5287
3.7259,5.0492,77.5356
3.7342,5.0610,77.5426
3.7426,5.0728,77.5495
3.7510,5.0846,77.5565
3.7593,5.0964,77.5634
3.7677,5.1083,77.5704
3.7760,5.1201,77.5773
3.7844,5.1319,77.5843
3.7927,5.1437,77.5913
3.8011,5.1555,77.5983
3.8094,5.1674,77.6052
3.8178,5.1792,77.6122
3.8261,5.1910,77.6192
3.8345,5.2029,77.6262
3.8429,5.2147,77.6332
3.8512,5.2266,77.6402
3.8596,5.2384,77.6473
3.8679,5.2503,77.6543
3.8763,5.2621,77.6613
3.8846,5.2740,77.6683
3.8930,5.2858,77.6754
3.9013,5.2977,77.6824
3.9097,5.3095,77.6894
3.9180,5.3214,77.6965
3.9264,5.3333,77.7035
3.9347,5.3451,77.7106
3.9431,5.3570,77.7177
3.9515,5.3689,77.7247
3.9598,5.3807,77.7318
3.9682,5.3926,77.7389
3.9765,5.4045,77.7460
3.9849,5.4164,77.7531
3.9932,5.4283,77.7601
4.0016,5.4402,77.7672
4.0099,5.4521,77.7743
4.0183,5.4640,77.7814
4.0266,5.4759,77.7886
4.0350,5.4878,77.7957
4.0433,5.4997,77.8028
4.0517,5.5116,77.8099
4.0601,5.5235,77.8171
4.0684,5.5354,77.8242
4.0768,5.5473,77.8313
4.0851,5.5592,77.8385
4.0935,5.5711,77.8456
4.1018,5.5831,77.8528
4.1102,5.5950,77.8599
4.1185,5.6069,77.8671
4.1269,5.6188,77.8743
4.1352,5.6308,77.8814
4.1436,5.6427,77.8886
4.1520,5.6546,77.8958
4.1603,5.6666,77.9030
4.1687,5.6785,77.9102
4.1770,5.6905,77.9174
4.1854,5.7024,77.9246
4.1937,5.7144,77.9318
4.2021,5.7263,77.9390
4.2104,5.7383,77.9462
4.2188,5.7502,77.9534
4.2271,5.7622,77.9606
4.2355,5.7742,77.9679
4.2438,5.7861,77.9751
4.2522,5.7981,77.9823
4.2606,5.8101,77.9896
4.2689,5.8220,77.9968
4.2773,5.8340,78.0041
4.2856,5.8460,78.0113
4.2940,5.8580,78.0186
4.3023,5.8700,78.0258
4.3107,5.8820,78.0331
4.3190,5.8940,78.0404
4.3274,5.9059,78.0477
4.3357,5.9179,78.0549
4.3441,5.9299,78.0622
4.3524,5.9419,78.0695
4.3608,5.9540,78.0768
4.3692,5.9660,78.0841
4.3775,5.9780,78.0914
4.3859,5.9900,78.0987
4.3942,6.0020,78.1061
4.4026,6.0140,78.1134
4.4109,6.0260,78.1207
4.4193,6.0381,78.1280
4.4276,6.0501,78.1354
4.4360,6.0621,78.1427
4.4443,6.0742,78.1500
4.4527,6.0862,78.1574
4.4610,6.0982,78.1647
4.4694,6.1103,78.1721
4.4778,6.1223,78.1794
4.4861,6.1344,78.1868
4.4945,6.1464,78.1942
4.5028,6.1585,78.2015
4.5112,6.1705,78.2089
4.5195,6.1826,78.2163
4.5279,6.1946,78.2237
4.5362,6.2067,78.2311
4.5446,6.2188,78.2385
4.5529,6.2308,78.2459
4.5613,6.2429,78.2533
4.5697,6.2550,78.2607
4.5780,6.2671,78.2681
4.5864,6.2791,78.2755
4.5947,6.2912,78.2829
4.6031,6.3033,78.2903
4.6114,6.3154,78.2978
4.6198,6.3275,78.3052
4.6281,6.3396,78.3126
4.6365,6.3517,78.3201
4.6448,6.3638,78.3275
4.6532,6.3759,78.3350
4.6615,6.3880,78.3424
4.6699,6.4001,78.3499
4.6783,6.4122,78.3573
4.6866,6.4243,78.3648
4.6950,6.4364,78.3723
4.7033,6.4486,78.3797
4.7117,6.4607,78.3872
4.7200,6.4728,78.3947
4.7284,6.4849,78.4022
4.7367,6.4971,78.4097
4.7451,6.5092,78.4172
4.7534,6.5213,78.4247
4.7618,6.5335,78.4322
4.7701,6.5456,78.4397
4.7785,6.5578,78.4472
4.7869,6.5699,78.4547
4.7952,6.5821,78.4622
4.8036,6.5942,78.4698
4.8119,6.6064,78.4773
4.8203,6.6185,78.4848
4.8286,6.6307,78.4924
4.8370,6.6428,78.4999
4.8453,6.6550,78.5075
4.8537,6.6672,78.5150
4.8620,6.6794,78.5226
4.8704,6.6915,78.5301
4.8788,6.7037,78.5377
4.8871,6.7159,78.5453
4.8955,6.7281,78.5528
4.9038,6.7403,78.5604
4.9122,6.7525,78.5680
4.9205,6.7647,78.5756
4.9289,6.7768,78.5831
4.9372,6.7890,78.5907
4.9456,6.8012,78.5983
4.9539,6.8135,78.6059
4.9623,6.8257,78.6135
4.9706,6.8379,78.6211
4.9790,6.8501,78.6288
4.9874,6.8623,78.6364
4.9957,6.8745,78.6440
5.0041,6.8867,78.6516
5.0124,6.8990,78.6592
5.0208,6.9112,78.6669
5.0291,6.9234,78.6745
5.0375,6.9357,78.6822
5.0458,6.9479,78.6898
5.0542,6.9601,78.6974
5.0625,6.9724,78.7051
5.0709,6.9846,78.7128
5.0792,6.9969,78.7204
5.0876,7.0091,78.7281
5.0960,7.0214,78.7357
5.1043,7.0336,78.7434
5.1127,7.0459,78.7511
5.1210,7.0582,78.7588
5.1294,7.0704,78.7665
5.1377,7.0827,78.7741
5.1461,7.0950,78.7818
5.1544,7.1072,78.7895
5.1628,7.1195,78.7972
5.1711,7.1318,78.8049
5.1795,7.1441,78.8126
5.1878,7.1564,78.8204
5.1962,7.1687,78.8281
5.2046,7.1809,78.8358
5.2129,7.1932,78.8435
5.2213,7.2055,78.8512
5.2296,7.2178,78.8590
5.2380,7.2301,78.8667
5.2463,7.2424,78.8744
