theta_deg,r_mm,z_mm
24.622787,50.055556,109.216033
24.692910,50.291667,109.377576
24.762688,50.527778,109.539414
24.832125,50.763889,109.701543
24.901222,51.000000,109.863961
24.969980,51.236111,110.026665
25.038403,51.472222,110.189654
25.106491,51.708333,110.352925
25.174247,51.944444,110.516475
25.241672,52.180556,110.680301
25.308769,52.416667,110.844403
25.375540,52.652778,111.008777
25.441985,52.888889,111.173420
25.508107,53.125000,111.338332
25.573909,53.361111,111.503509
25.639391,53.597222,111.668949
25.704555,53.833333,111.834649
25.769404,54.069444,112.000609
25.833940,54.305556,112.166825
25.898163,54.541667,112.333296
25.962076,54.777778,112.500018
26.025681,55.013889,112.666991
26.088979,55.250000,112.834212
26.151973,55.486111,113.001679
26.214663,55.722222,113.169390
26.277052,55.958333,113.337342
26.339142,56.194444,113.505535
26.400934,56.430556,113.673965
26.462430,56.666667,113.842631
26.523632,56.902778,114.011531
26.584541,57.138889,114.180663
26.645159,57.375000,114.350024
26.705488,57.611111,114.519614
26.765530,57.847222,114.689431
26.825286,58.083333,114.859471
26.884758,58.319444,115.029734
26.943948,58.555556,115.200218
27.002857,58.791667,115.370921
27.061487,59.027778,115.541840
27.119839,59.263889,115.712975
27.177916,59.500000,115.884324
27.235718,59.736111,116.055884
27.293248,59.972222,116.227654
27.350507,60.208333,116.399633
27.407497,60.444444,116.571818
27.464219,60.680556,116.744209
27.520675,60.916667,116.916802
27.576866,61.152778,117.089597
27.632794,61.388889,117.262593
27.688461,61.625000,117.435786
27.743868,61.861111,117.609177
27.799016,62.097222,117.782763
27.853908,62.333333,117.956542
27.908544,62.569444,118.130514
27.962927,62.805556,118.304676
28.017057,63.041667,118.479027
28.070937,63.277778,118.653565
28.124567,63.513889,118.828290
28.177949,63.750000,119.003199
28.231085,63.986111,119.178292
28.283976,64.222222,119.353566
28.336623,64.458333,119.529020
28.389029,64.694444,119.704653
28.441194,64.930556,119.880463
28.493119,65.166667,120.056450
28.544807,65.402778,120.232610
28.596259,65.638889,120.408945
28.647476,65.875000,120.585450
28.698459,66.111111,120.762127
28.749210,66.347222,120.938973
28.799730,66.583333,121.115986
28.850021,66.819444,121.293166
28.900083,67.055556,121.470511
28.949919,67.291667,121.648020
28.999530,67.527778,121.825692
29.048917,67.763889,122.003526
29.098081,68.000000,122.181519
29.147023,68.236111,122.359672
29.195745,68.472222,122.537982
29.244249,68.708333,122.716449
29.292535,68.944444,122.895071
29.340605,69.180556,123.073847
29.388460,69.416667,123.252776
29.436101,69.652778,123.431857
29.483530,69.888889,123.611088
29.530747,70.125000,123.790469
29.577755,70.361111,123.969999
29.624554,70.597222,124.149675
29.671145,70.833333,124.329498
29.717531,71.069444,124.509465
29.763711,71.305556,124.689577
29.809687,71.541667,124.869831
29.855461,71.777778,125.050227
29.901034,72.013889,125.230764
29.946406,72.250000,125.411440
29.991579,72.486111,125.592255
30.036554,72.722222,125.773207
30.081332,72.958333,125.954296
30.125914,73.194444,126.135521
30.170303,73.430556,126.316880
30.214497,73.666667,126.498372
30.258500,73.902778,126.679997
30.302311,74.138889,126.861753
30.345933,74.375000,127.043640
30.389366,74.611111,127.225657
30.432610,74.847222,127.407802
30.475669,75.083333,127.590075
30.518541,75.319444,127.772475
30.561229,75.555556,127.955000
30.603734,75.791667,128.137651
30.646056,76.027778,128.320425
30.688197,76.263889,128.503323
30.730157,76.500000,128.686343
30.771939,76.736111,128.869484
30.813542,76.972222,129.052745
30.854968,77.208333,129.236126
30.896217,77.444444,129.419626
30.937292,77.680556,129.603244
30.978193,77.916667,129.786978
31.018920,78.152778,129.970829
31.059475,78.388889,130.154795
31.099859,78.625000,130.338876
31.140073,78.861111,130.523070
31.180118,79.097222,130.707377
31.219994,79.333333,130.891797
31.259704,79.569444,131.076327
31.299247,79.805556,131.260968
31.338624,80.041667,131.445719
31.377837,80.277778,131.630579
31.416887,80.513889,131.815547
31.455774,80.750000,132.000622
31.494500,80.986111,132.185804
31.533065,81.222222,132.371092
31.571470,81.458333,132.556485
31.609716,81.694444,132.741983
31.647804,81.930556,132.927584
31.685735,82.166667,133.113288
31.723510,82.402778,133.299095
31.761130,82.638889,133.485003
31.798595,82.875000,133.671011
31.835906,83.111111,133.857120
31.873065,83.347222,134.043329
31.910072,83.583333,134.229636
31.946929,83.819444,134.416041
31.983635,84.055556,134.602544
32.020191,84.291667,134.789144
32.056599,84.527778,134.975839
32.092860,84.763889,135.162630
32.128974,85.000000,135.349516
